LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
155,3.29,2019,C+,C+,CR,3.5,3.089,N,N,N,N,Y,Barbri,0.89,0,N,N,93,3.5,3.1667,139.4,274.9,1
153,3.73,2019,B,A,B+,3.283,3.398,N,N,N,N,N,Themis,0.88,5,N,Y,NA,4,4.3333,160.4,316.9,1
154,3.39,2019,C+,B+,CR,3.092,2.994,N,N,N,N,N,Themis,0.82,0,Y,N,119,4,4,147.8,299.7,1
155,3.7,2019,C,C+,CR,2.842,3.283,N,N,N,N,Y,Barbri,0.97,0,N,N,97,4.5,4,129.6,286.1,1
158,2.82,2019,C+,C,B+,3.116,3.448,N,N,N,N,Y,Barbri,0.66,0,N,N,NA,3.5,3.3333,147.8,285.7,1
156,3.54,2019,B,B+,CR,3.208,3.429,N,N,N,N,N,Themis,0.9,3,N,N,90,3,4,144.9,287.4,1
160,3.87,2019,B,B ,CR,3.45,3.362,N,N,N,N,N,Barbri,1,5,N,Y,87,3.5,4.1667,142.8,292.3,1
157,3.2,2019,A,A,A,3.625,3.601,N,N,N,N,Y,Themis,0.79,0,N,N,93,5,3.6667,148.5,305,1
156,3.09,2019,B,C,CR,3,3.182,N,N,N,N,Y,Barbri,0.95,0,N,N,105,2.5,3.3333,143.5,272,1
153,3.66,2019,B+,A,A,3.625,3.72,N,N,N,N,N,Barbri,1,0,N,N,88,4.5,4,149.3,305.8,1
160,2.27,2019,B,B,CR,3.15,3.44,N,N,N,N,N,NA,NA,0,N,N,NA,4,4.3333,135.5,285.4,1
150,3.24,2019,A,B,CR,3.462,3.373,N,N,N,N,Y,Themis,0.66,5,N,N,88,3.5,3.5,150,290.1,1
155,3.07,2019,B,C+,CR,2.739,2.904,N,N,N,N,N,Themis,0.99,3,Y,N,87,4.5,3,147.1,289.6,1
156,3.41,2019,A,B,A,3.633,3.838,N,N,N,N,N,Themis,0.94,0,N,N,130,4,4.8333,154.6,318.2,1
157,3.18,2019,B+,B,CR,3.526,3.565,N,N,N,N,N,Barbri,0.9,0,N,N,83,3.5,4,140.7,287.8,1
149,3.55,2019,A,B+,CR,3.281,3.289,N,N,N,N,Y,Barbri,1,0,N,N,95,3,3.6667,133.4,271.3,1
153,3.26,2019,B+,C+,CR,2.891,3.144,N,N,N,N,Y,NA,NA,5,N,N,95,4,3.8333,143.5,293,1
155,3.69,2019,B+,B+,B+,3.5,3.708,N,N,N,N,N,Themis,0.77,3,N,N,128,4,4.1667,150,304.1,1
146,3.87,2019,B+,A,A,3.826,3.716,N,N,N,N,N,Themis,0.89,0,N,N,88,3,3.8333,147.8,287.9,1
157,3.2,2019,B,B,B+,3.216,3.387,N,N,N,N,N,Barbri,0.97,5,N,Y,104,3.5,3,148.5,281.6,1
149,3.89,2019,B,B+,B+,3.066,3.058,N,N,N,N,Y,Themis,0.8,0,Y,N,96,3,3.3333,140.7,273.8,1
157,3.7,2019,B,C+,B ,2.907,3.213,N,N,N,N,N,Themis,0.91,0,N,Y,105,4.5,3.6667,151.5,303.4,1
158,3.45,2019,B,B,CR,3.125,3.133,N,N,N,N,Y,Themis,0.79,0,N,N,89,4.5,3.5,136.1,285.6,1
160,3.9,2019,B,B+,CR,3.605,3.519,N,N,N,N,Y,Themis,0.87,0,N,N,110,4.5,4,153.8,310.3,1
160,3.37,2019,A,B+,A,3.95,3.958,N,N,N,N,N,Themis,0.81,2,N,N,121,4.5,4,157,313.5,1
156,3.86,2019,A,B+,A,3.942,3.923,N,N,N,N,N,Barbri,0.95,0,N,N,123,3.5,4.3333,158.7,310.6,1
157,3.28,2019,B+,C+,B,3.3,3.424,N,N,N,N,N,Themis,0.9,0,N,Y,93,5,4,153.1,314.3,1
155,3.55,2019,B,C+,CR,3.093,3.02,N,N,N,N,N,NA,NA,0,Y,Y,82,4,2.8333,140.7,276.2,1
