LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
150,3.07,2018,C,B,C,2.362,2.738,N,Y,N,N,Y,Themis,0.88,5,Y,N,78,2.5,3.8333,148.6,286.6,1
148,3.57,2018,C+,A,B+,2.948,3.441,N,N,N,N,N,Themis,0.95,0,N,N,97,4.5,3.6667,141.5,297.2,1
155,3.26,2018,C+,B,C,2.827,3.168,N,N,N,N,N,Barbri,0.95,5,Y,N,114,3.5,3.5,159.4,302.4,1
152,3.96,2018,A,B+,A,3.603,3.803,N,N,N,N,Y,Themis,1,5,N,N,99,4,4,168,323.7,1
156,3.41,2018,B,B,C+,2.879,3.255,N,N,N,N,Y,Themis,1,1,N,N,91,4.5,3.8333,146.4,304.5,1
153,3.64,2018,B,C+,B ,2.517,3.319,Y,Y,N,Y,N,Themis,0.75,0,N,N,99,4,3,145,285.6,1
151,3.67,2018,B,B+,B,2.793,3.255,N,N,N,N,N,Barbri,0.97,2,N,Y,86,3.5,3.5,134.7,277.7,1
156,3.52,2018,B+,B,A,3.155,3.579,Y,N,N,Y,Y,Barbri,1,4,N,N,NA,3,4,166.2,311.8,1
157,2.62,2018,B,A,A,3.224,3.346,N,N,N,Y,Y,Barbri,0.9,0,N,N,100,4.5,3.5,136.7,289.9,1
163,3.45,2018,A,B,B,3.603,3.762,N,N,N,N,N,Themis,0.6,0,N,N,105,2.5,3.5,150.8,283.9,1
155,3.25,2018,B,B,B,2.862,3.032,N,N,N,N,N,Themis,0.48,0,Y,N,79,3.5,3.1667,140.8,278.8,1
155,3.09,2018,B,A,B,2.896,3.068,N,N,N,N,Y,Themis,0.71,4,Y,N,95,4,3.5,128.7,276.9,1
156,3.26,2018,C+,C+,B,3.12,3.612,Y,N,N,N,N,Barbri,0.84,0,N,N,105,4.5,3.1667,144.3,292.5,1
157,2.49,2018,A,B+,B+,3.896,3.639,N,N,N,N,Y,Barbri,0.85,1,N,N,132,4.5,3.6667,169.9,325.6,1
159,3.59,2018,A,A,B+,3.603,3.755,Y,N,N,N,N,Barbri,1,2,N,N,96,4.5,4.1667,158.6,321.9,1
159,3.44,2018,A,C+,C+,3.103,3.297,N,N,N,N,N,NA,NA,0,N,N,124,4,3.5,146.4,294.6,1
148,3.65,2018,C+,B+,B+,3.224,3.284,N,N,N,N,Y,Barbri,1,2,N,N,102,4,4.1667,137.4,295.5,1
164,3.66,2018,B+,B+,B,3.344,3.559,N,N,N,N,Y,Barbri,0.85,5,N,N,114,3,3.1667,143.6,276.7,1
151,3.44,2018,B,B,B+,3.172,3.331,N,N,N,N,Y,Themis,0.89,3,N,Y,104,4,4.3333,142.9,303.6,1
152,3.61,2018,B,B,B+,3.103,3.62,N,N,N,N,N,Themis,0.83,5,N,N,NA,3.5,4,152.3,302.9,1
154,3.18,2018,C+,B,C+,3.086,3.259,N,N,N,N,N,Themis,1,5,N,Y,99,3.5,3.3333,142.2,282.8,1
156,2.93,2018,B+,C,C+,3,3.132,N,N,N,N,N,Themis,0.84,0,Y,N,127,5,3.5,154.6,312.7,1
148,3.78,2018,B+,B,B+,3.206,3.5,N,N,N,N,Y,Barbri,0.77,5,N,Y,105,2.5,4.1667,159.4,302.4,1
152,3.55,2018,A,B,B,3.517,3.486,N,N,N,N,Y,Themis,0.85,2,N,N,97,4,3.3333,157.8,303.4,1
157,3.14,2018,A,B,B+,3.379,3.644,Y,N,N,Y,N,Barbri,0.81,1,N,N,108,4,3.6667,143.6,294.2,1
161,2.83,2018,C+,C+,B+,2.551,2.994,N,N,N,Y,N,NA,NA,0,Y,N,NA,4,3.5,153.1,301.3,1
158,3.71,2018,A,B+,C+,3.206,3.383,N,N,N,N,N,Barbri,0.96,3,N,N,118,4,3.8333,143.6,296.8,1
156,3.36,2018,C+,B,B,3.392,3.384,N,N,N,N,Y,Themis,0.76,2,N,N,86,3,4.1667,144.3,292.5,1
155,3.46,2018,C+,C+,C,2.81,3.342,N,N,N,N,N,Barbri,0.84,2,N,N,92,3.5,3.8333,150.1,298.3,1
155,3.52,2018,B,B+,B+,3.482,3.433,N,N,N,N,Y,Barbri,1,1,N,N,115,4,3.6667,150.8,301.4,1
152,4.01,2018,B,B,B,3.189,3.43,N,N,N,N,N,Barbri,0.92,2,N,N,87,4.5,3.1667,143.6,291.8,1
149,3.42,2018,A,A,A,3.655,3.595,N,N,N,N,Y,Themis,0.94,5,N,Y,99,4,4.1667,154.6,312.7,1
150,3.86,2018,B+,B,B+,3.241,3.256,N,N,N,N,Y,Themis,0.73,1,N,N,95,3.5,3.3333,145.7,286.3,1
150,3.5,2018,C+,C+,C+,2.775,3.191,N,N,N,N,Y,Themis,0.91,0,N,N,88,4.5,3.6667,142.9,298.6,1
149,4.01,2018,B,B,B,3,3.383,N,N,N,N,Y,Barbri,1,0,N,N,111,4,4,148.6,304.3,1
158,3.82,2018,B,B,C+,2.827,3.439,N,N,N,N,Y,Themis,0.87,3,N,N,111,3.5,4.1667,143.6,296.8,1
158,3.28,2018,B,C,B,2.965,3.337,N,N,N,N,Y,Barbri,0.98,0,N,N,112,4,3.6667,157.8,308.4,1
155,3.31,2018,C+,C,D+,2.62,2.853,N,N,N,N,N,Barbri,0.87,0,Y,N,NA,2.5,3.6667,139.4,274.9,1
158,3.15,2018,B+,B+,B,3.327,3.255,N,N,N,N,N,Themis,0.78,0,N,N,NA,3,3.3333,161,296.5,1
160,3.03,2018,A,B,A,3.793,3.91,N,N,N,N,N,Barbri,0.97,0,N,N,145,5,4.6667,169,344.8,1
156,3.35,2018,C+,A,A,3.465,3.708,N,N,N,N,Y,Barbri,0.97,2,N,N,102,3,4,161,306.6,1
151,4,2018,A,B,B+,3.586,3.685,N,N,N,N,Y,Themis,0.79,0,N,N,106,3,4.1667,161,309.2,1
156,3.03,2018,C,B,D ,2.413,2.81,Y,Y,N,N,Y,NA,NA,0,Y,N,114,3,3.1667,139.4,272.5,1
156,3.29,2018,B,B+,A,3.137,3.25,N,N,N,N,Y,Barbri,0.92,0,N,N,114,4.5,3.3333,142.2,292.8,1
148,3.69,2018,D+,C,B,2.482,2.818,N,Y,N,N,Y,Themis,0.96,2,Y,N,108,4,3.3333,135.4,281,1
157,3.3,2018,B+,B,B+,3.189,3.397,N,N,N,N,N,Themis,0.93,0,N,N,92,4,4,139.4,295.1,1
155,3.4,2018,B,B,B,3.344,3.662,N,N,N,N,N,Barbri,1,0,N,Y,105,4,3.8333,157,310.2,1
152,3.62,2018,B+,B,B+,3.12,3.528,N,N,N,N,Y,Barbri,1,5,N,Y,115,4.5,4.1667,157.8,321.1,1
157,2.65,2018,A,A,A,3.81,3.885,N,N,N,N,Y,Barbri,0.96,0,N,N,90,2.5,4,164.5,305.1,1
150,3.66,2018,C+,A,A,2.741,3.097,N,N,N,N,Y,Barbri,1,3,Y,N,94,3.5,3.3333,145,285.6,1
