LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
154,3.18,2019,C+,C+,C+,2.466,2.916,N,Y,N,N,N,Themis,0.77,4,Y,N,79,3,3.1667,135.4,266.3,0
152,2.56,2019,B,C+,C,2.5,3.055,N,N,N,N,N,Themis,0.58,0,Y,N,95,2.5,3.6667,126.5,259.6,0
158,2.78,2019,C,B+,CR,3.225,3.137,Y,N,N,N,Y,Barbri,0.83,0,N,N,86,2,3,135.4,254.5,0
153,3.47,2019,A,B+,A,3.5,3.421,N,N,N,N,N,Themis,0.7,0,N,N,95,2,3.1667,140.1,261.6,0
159,2.97,2019,C,C,C+,2.283,2.642,N,Y,Y,Y,Y,Themis,0.75,5,Y,N,79,3,3,129,257.5,0
148,3.59,2019,B,A,B+,2.717,3.054,N,N,N,N,Y,Themis,0.88,1,Y,N,87,2,3.1667,134.1,255.6,0
155,3.45,2019,B,D+,CR,2.763,2.987,N,N,N,N,N,Barbri,0.91,0,Y,N,86,2.5,3,128.3,252,0
152,3.39,2019,C,A,B ,2.652,3.146,N,N,N,N,N,Barbri,0.96,5,Y,N,85,3.5,3.1667,115.3,250.8,0
151,3.61,2019,C,D,C+,2.583,2.769,N,N,Y,Y,Y,Barbri,0.64,5,Y,N,85,3,2.1667,129.6,246.4,0
157,3.11,2019,C,B+,B,2.666,3.189,N,N,N,N,N,Themis,0.62,0,N,Y,87,2.5,3.5,128.3,259.2,0
155,3.95,2019,D,B,B,2.433,2.88,N,Y,Y,N,Y,Themis,0.72,5,Y,N,95,2.5,2.3333,136.1,250.5,0
151,3.94,2019,C,B,CR,2.687,3.151,N,N,N,N,Y,NA,NA,0,Y,Y,109,2.5,2.5,127.7,244.5,0
149,3.41,2019,C,B,B,2.931,3.272,N,N,N,N,Y,Barbri,0.94,0,N,N,99,4,2.6667,122.1,255.2,0
153,3.5,2019,C+,C+,C+,2.666,3.064,N,N,N,N,Y,Themis,0.88,2,Y,N,89,3,3.5,131.5,267,0
149,4.06,2019,B,A,A,2.875,3.359,N,N,N,N,N,Barbri,0.93,0,N,N,93,3.5,3.3333,131.5,269.4,0
149,3.6,2019,C+,C+,CR,3.065,3.246,Y,N,N,N,Y,Barbri,0.96,0,N,N,97,3,3.5,133.4,268.9,0
157,2.94,2019,B+,B+,CR,3.656,3.201,N,N,N,N,N,Themis,0.4,0,N,N,NA,3.5,3.6667,122.7,265.2,0
153,3.55,2019,B,B,CR,2.842,2.551,N,N,N,N,Y,Barbri,0.98,5,Y,N,77,3,2.6667,119.6,243.4,0
